kategorie;zarizeni;nazev_poskytovatele;adresa_poskytovatele;ico;nazev_zarizeni_poskytovatele;vedouci_zarizeni;adresa_zarizeni_poskytovatele;datum_sluzba_od;forma_poskytovani_soc_sluz;cilova_skupina_klientu;vekova_kategorie;pocet_luzek;provozni_doba;kontakty
raná péče;Raná péče (5330519);Demosthenes, o.p.s.;Mírová 2820/2, Severní Terasa, 400 11 Ústí nad Labem 11;25421018;Demosthenes, o. p. s.;Mgr. Iryna Kovalčuková;Mírová 2820/2, Severní Terasa, 400 11 Ústí nad Labem 11;1.1.2007;terénní;"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
rodiny s dítětem/dětmi";Služba je poskytována rodinám s dětmi se zdravotním postižením nebo ohroženým vývojem (například rodinám s dětmi předčasně narozenými, dětem, kde doposud není stanoveno zdravotní postižení, ale jejichž vývoj není standardní), a to do 7 let věku dítěte.;"počet klientů - 3
Jedná se o maximální okamžitou kapacitu. Během časového intervalu poskytování služby lze službu poskytnout celkem 3 uživatelům (3 pracovníci = 3 klienti/rodiny).";"pondělí:
8:00 - 16:30 - dle předchozí domluvy lze službu poskytnout v čase od 8:00 do 18:00 hodin
úterý:
8:00 - 16:30 - dle předchozí domluvy lze službu poskytnout v čase od 8:00 do 18:00 hodin
středa:
8:00 - 16:30 - dle předchozí domluvy lze službu poskytnout v čase od 8:00 do 18:00 hodin
čtvrtek:
8:00 - 16:30 - dle předchozí domluvy lze službu poskytnout v čase od 8:00 do 18:00 hodin
pátek:
8:00 - 16:30 - dle předchozí domluvy lze službu poskytnout v čase od 8:00 do 18:00 hodin
sobota:
neděle:";['721238965', '411198977', 'iryna.kovalcukova@demosthenes.cz', 'www.demosthenes.cz']
raná péče;Raná péče (3999956);Diakonie ČCE - středisko CESTA;Na Stavidle 1266, Uherské Hradiště, 686 01 Uherské Hradiště 1;65267991;Diakonie ČCE - středisko CESTA;Bc. Zuzana Hoffmannová;Na Stavidle 1266, Uherské Hradiště, 686 01 Uherské Hradiště 1;1.1.2009;ambulantní;"rodiny s dítětem/dětmi
(dítě zdravotně postižené, nebo jehož vývoj je ohrožen v důsledku nepříznivého zdravotního stavu)";"děti kojeneckého věku (do 1 roku); děti předškolního věku (1 - 7 let)";"počet klientů - 1
1 rodina - okamžitá kapacita";"pondělí:
úterý:
13:00 - 17:00
středa:
čtvrtek:
7:30 - 11:30
pátek:
sobota:
neděle:";['737507915', 'rana.pece@strediskocesta.cz', 'http://strediskocesta.cz']
raná péče;Raná péče (6095107);Diakonie ČCE - středisko Praha;Vlachova 1502/20, Praha 13-Stodůlky, 155 00 Praha 515;62931270;Raná péče - pracoviště Praha;PhDr. Kateřina Štinglová;Machatého 683/10, Praha 5-Hlubočepy, 152 00 Praha 52;1.1.2007;ambulantní;"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
rodiny s dítětem/dětmi
Raná péče je určena celé rodině s dítětem s mentálním/pohybovým/kombinovaným postižením, s opožděním psychomotorického vývoje, s poruchami autistického spektra od 0 do 7 let věku dítěte.";Upřesnění věkové kategorie : 0 - 7 let;"počet klientů - 1
jedná se o okamžitou kapacitu. Podíl kapacit pro kraje, kde je služba poskytována v roce 2019: Hlavní město Praha 38,14%, Středočeský kraj - 29,92%, Plzeňský kraj - 17,38% (navýšení od 1. 1. 2019 o 1,0 úv. pp), Ústecký kraj - 14,56%. S platností k 1. 1. 2019 bude navýšena kapacita na 13 klientů.";"pondělí:
9:00 - 14:00
úterý:
9:00 - 14:00
středa:
9:00 - 14:00
čtvrtek:
9:00 - 14:00
pátek:
sobota:
neděle:";['731633025‘, '235518392‘, 'info@rana-pece.cz', 'www.rana-pece.cz']
raná péče;Raná péče (6447139);Diakonie ČCE - středisko Světlo ve Vrchlabí;Komenského 616, Vrchlabí, 543 01 Vrchlabí 1;43464343;Pracoviště rané péče Diakonie ČCE - středisko Světlo ve Vrchlabí;Mgr. Marcela Sobotková;Komenského 616, Vrchlabí, 543 01 Vrchlabí 1;1.1.2007;ambulantní;"rodiny s dítětem/dětmi
Rodiny s dítětem raného věku (0-7 let) se zdravotním postižením (mentálním, pohybovým, kombinovaným, s poruchou autistického spektra nebo opožděným či ohroženým vývojem) do 60 km od Vrchlabí na území Královéhradeckého kraje a v ORP Jilemnice.";- děti do 7 let věku;"počet klientů - 4
(maximální denní kapacita) Maximální počet uzavřených smluv 40.";"pondělí:
8:00 - 17:00 - dle předchozí domluvy
úterý:
8:00 - 17:00 - dle předchozí domluvy
středa:
8:00 - 17:00 - dle předchozí domluvy
čtvrtek:
8:00 - 17:00 - dle předchozí domluvy
pátek:
8:00 - 17:00 - dle předchozí domluvy
sobota:
neděle:";['499423566‘, '739244665‘, 'ranapece.svetlo@diakonie.cz', 'ranapece.svetlo@diakonie.cz']
raná péče;Raná péče (9920262);Diecézní charita Brno;třída Kpt. Jaroše 1928/9, Brno-střed, Černá Pole, 602 00 Brno 2;44990260;Raná péče Třebíč;Mgr. Jaroslav František Žák;Vltavínská 1402, Horka-Domky, 674 01 Třebíč 1;23.10.2017;ambulantní;"osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
rodiny s dítětem/dětmi";Raná péče je poskytována dětem do 7 let věku.;"počet klientů - 71
do 22.10.2017 61 klientů od 23.10.2017 66 klientů od nabytí právní moci rozhodnutí č.j. JMK 26632/2018 je počet klientů 71 Uživatelem služeb je celá rodina dítěte se zdravotním postižením nebo ohrožením ve vývoji. Uvedená kapacita je stanovená na období 1 měsíce.";"pondělí:
7:00 - 17:00 - po telefonické domluvě
úterý:
7:00 - 17:00 - po telefonické domluvě
středa:
7:00 - 17:00 - po telefonické domluvě
čtvrtek:
8:00 - 16:00
pátek:
7:00 - 17:00 - po telefonické domluvě
sobota:
neděle:";['606860551‘, '608808025‘, 'jaroslav.zak@trebic.charita.cz', 'http://www.trebic.charita.cz']
raná péče;Raná péče (9306099);DOTYK II, o.p.s.;Vídeňská 11/127, Brno-jih, Přízřenice, 619 00 Brno 19;29277817;DOTYK II - raná péče;Mgr. Josef Svoboda;Vídeňská 11/127, Brno-jih, Přízřenice, 619 00 Brno 19;1.9.2013;ambulantní;"osoby se zdravotním postižením
děti s poruchami autistického spektra";Služba je určena dětem do 7 let;"počet klientů - 53
Jedná se o roční kapacitu.";"pondělí:
9:00 - 16:00
úterý:
9:00 - 16:00
středa:
9:00 - 16:00
čtvrtek:
9:00 - 16:00
pátek:
sobota:
neděle:";['773098779‘, 'rana.pece@dotyk2.cz', 'www.dotyk2.cz']
raná péče;Raná péče (7877605);EDA cz, z.ú.;Filipova 2013/1, Praha 11-Chodov, 148 00 Praha 414;24743054;Raná péče EDA;Mgr. Jana Ježková;Filipova 2013/1, Praha 11-Chodov, 148 00 Praha 414;3.1.2011;ambulantní;"osoby s kombinovaným postižením
Dítě klientské rodiny má zrakové a další postižení.
osoby se zrakovým postižením
Dítě klientské rodiny má postižení zraku.
rodiny s dítětem/dětmi
Dítě klientské rodiny má zrakové nebo kombinované postižení a je ve věku od narození do 7 let.";Sociální služba raná péče je určena pro celou rodinu s dítětem se zrakovým nebo kombinovaným postižením od narození do 7 let věku dítěte.;"počet klientů - 1
jedná se o okamžitou kapacitu. Podíl pro kraje působnosti služby je následující: Hl.m.Praha - 37,5%, Středočeský kraj - 35%, Ústecký kraj - 20%, Pardubický kraj - 7,5%. Ambulantní forma tvoří do 25% celkově poskytované služby. Hlavní důraz je kladen na poskytování služby terénní formou.";"pondělí:
8:00 - 16:00
úterý:
8:00 - 16:00
středa:
8:00 - 16:00
čtvrtek:
8:00 - 16:00
pátek:
8:00 - 16:00
sobota:
neděle:";['224826860‘, 'info@eda.cz', 'www.eda.cz']
raná péče;Raná péče (3503896);I MY, o.p.s.;tř. Dr. Edvarda Beneše 286/5, Soběslav II, 392 01 Soběslav;70812187;Raná péče I MY;Bc. Lea Stiborová;tř. Dr. Edvarda Beneše 286/5, Soběslav II, 392 01 Soběslav;1.1.2006;terénní;"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
rodiny s dítětem/dětmi
Rodiny s dětmi s mentálním, tělesným, kombinovaným postižením, poruchami autistického spektra, s opožděným a ohroženým vývojem - od narození do 7 let věku dítěte";děti od narození do 7 let věku;"počet klientů - 70
- celková kapacita (jedná se o počet rodin) Okamžitá kapacita: 4 rodiny v daný okamžik";"pondělí:
8:00 - 18:00
úterý:
8:00 - 18:00
středa:
8:00 - 18:00
čtvrtek:
8:00 - 18:00
pátek:
8:00 - 18:00
sobota:
neděle:";['775104920', 'rana.pece@IMYpomahame.cz', 'www.IMYpomahame.cz']
raná péče;Raná péče (3277328);Jdeme Autistům Naproti z.s.;Žilinská 198/26a, Nová Ulice, 779 00 Olomouc 9;27041972;Centrum JAN;Mgr. Sylva Kočí;Žilinská 198/26a, Nová Ulice, 779 00 Olomouc 9;15.4.2009;ambulantní;"osoby s kombinovaným postižením
Osoby s poruchou autistického spektra a osoby s poruchou komunikace.";- děti předškolního věku (1 - 7 let);"počet klientů - 2
okamžitá kapacita: na ul. Žilinská - 1, na ul. Blažejské nám. - 1";"pondělí:
8:00 - 12:30
úterý:
8:00 - 12:30
středa:
8:00 - 12:30
čtvrtek:
8:00 - 12:30
pátek:
8:00 - 12:30
sobota:
neděle:";['608366835', 'jan.olomouc.o.s@seznam.cz', 'www.jan-olomouc.cz']
raná péče;Raná péče (7676136);KOLPINGOVA RODINA SMEČNO;U Zámku 5, 273 05 Smečno;70929688;Středisko rané péče Slaný;Mgr. Jolana Kopejsková;Wilsonova 546/7, Slaný, 274 01 Slaný 1;1.1.2007;ambulantní;"osoby se zdravotním postižením
rodiny s dítětem/dětmi";"děti předškolního věku (1 - 6 let)
děti kojeneckého věku (do 1 roku)";"počet klientů - 15
30 klientů /ročně Rodiny s dítětem /dětmi do 7 let, kde dítě má zdravotní postižení se zvláštním zřetelem na rodiny s dětmi s onemocněním spinální muskulární atrofie SMA.";"pondělí:
8:00 - 13:00
úterý:
8:00 - 13:00
středa:
8:00 - 13:00
čtvrtek:
8:00 - 13:00
pátek:
8:00 - 13:00
sobota:
neděle:";['777222425', 'rana.pece@dumrodin.cz', 'http://www.dumrodin.cz']
raná péče;Raná péče (9227521);MCT CZ z.s.;Nový Spálenec 25, Česká Kubice, 344 01 Domažlice 1;67675603;MCT CZ středisko rané péče;Josef Holý;Nový Spálenec 25, Česká Kubice, 344 01 Domažlice 1;1.1.2007;ambulantní;rodiny s dítětem/dětmi;"děti předškolního věku (1 - 6 let)
děti kojeneckého věku (do 1 roku)";"počet klientů - 1
okamžitá kapacita, maximální kapacita je 30 klientů";"pondělí:
úterý:
středa:
14:00 - 18:00
čtvrtek:
pátek:
sobota:
neděle:";['737111649', 'mct.cz@seznam.cz', 'http://sweb.cz/mct.cz']
raná péče;Raná péče (4664866);MOTÝL, z.ú.;Žlutická 1694/2, Plzeň 1-Bolevec, 323 00 Plzeň 23;26674157;MOTÝL;Mgr. Markéta Berešová, DiS.;Žlutická 1694/2, Plzeň 1-Bolevec, 323 00 Plzeň 23;1.1.2008;ambulantní;"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
rodiny s dítětem/dětmi";"děti předškolního věku (1 - 6 let)
děti kojeneckého věku (do 1 roku)";"počet klientů - 1
okamžitá kapacita";"pondělí:
8:00 - 14:00
úterý:
8:00 - 16:00
středa:
8:00 - 14:00
čtvrtek:
8:00 - 16:00
pátek:
8:00 - 14:00
sobota:
neděle:";['724822985', 'ranapece.motyl@centrum.cz', 'http://www.motyl-plzen.cz']
raná péče;Raná péče (4334040);Národní ústav pro autismus, z.ú.;Brunnerova 1011/3, Praha 17-Řepy, 163 00 Praha 618;26623064;Středisko rané péče NAUTIS;Bc. Jan Kouřil;Písecká 1967/5, Praha 3-Vinohrady, 130 00 Praha 3;1.10.2018;ambulantní;"osoby s jiným zdravotním postižením
osoby s poruchou autistického spektra
osoby se zdravotním postižením
osoby s poruchou autistického spektra
rodiny s dítětem/dětmi";od 1 do 6 let;"počet klientů - 8
Uvedený počet klientů je maximální denní kapacita služby.";"pondělí:
9:00 - 16:00 - na základě objednání
úterý:
9:00 - 16:00 - na základě objednání
středa:
9:00 - 16:00 - na základě objednání
čtvrtek:
9:00 - 16:00 - na základě objednání
pátek:
9:00 - 16:00 - na základě objednání
sobota:
neděle:";['235302111', 'nautis@nautis.cz', 'http://www.praha.apla.cz']
raná péče;Raná péče (6288242);Občanské sdružení Logo z.s.;Vsetínská 527/20, Brno-střed, Štýřice, 639 00 Brno 39;26607468;Občanské sdružení LOGO z.s.;Ing. Tomáš Ostrý;Vsetínská 527/20, Brno-střed, Štýřice, 639 00 Brno 39;1.1.2007;ambulantní;"osoby s jiným zdravotním postižením
Děti s poruchami komunikace a hybnosti, zejména děti s poruchami autistického spektra, vývojovou dysfázií, opožděným vývojem řeči, syndromovými vadami pojící se s opožděním řečového vývoje a s ADHD.
osoby se zdravotním postižením
Děti s poruchami komunikace a hybnosti, zejména děti s poruchami autistického spektra, vývojovou dysfázií, opožděným vývojem řeči, syndromovými vadami pojící se s opožděním řečového vývoje a s ADHD.
rodiny s dítětem/dětmi
Děti s poruchami komunikace a hybnosti, zejména děti s poruchami autistického spektra, vývojovou dysfázií, opožděným vývojem řeči, syndromovými vadami pojící se s opožděním řečového vývoje a s ADHD.";"děti předškolního věku (1 - 6 let)
děti kojeneckého věku (do 1 roku)";"počet klientů - 1
Jedná se o okamžitou kapacitu, klientem se rozumí jedna rodina. V případě skupinových aktivit je max. okamžitá kapacita 12 klientů.";"pondělí:
8:00 - 12:00
úterý:
středa:
čtvrtek:
pátek:
sobota:
neděle:";['775564615', ‘775564619’, ‘777645415’, ’775564605', ’775035330’, 'oslogo@oslogo.cz', 'rp@oslogo.cz','http://www.oslogo.cz']
raná péče;Raná péče (8307350);Oblastní charita Havlíčkův Brod;Boženy Němcové 188, Havlíčkův Brod, 580 01 Havlíčkův Brod 1;15060233;Středisko rané péče Havlíčkův Brod;PhDr. Irena Salaguardová;Horní 3188, Havlíčkův Brod, 580 01 Havlíčkův Brod 1;1.7.2002;ambulantní;"rodiny s dítětem/dětmi
(jedná se o rodiny s dětmi do 7 let se zdravotním postižením, včetně poruchy autistického spektra, nebo jejichž vývoj je v důsledku nepřříznivého zdravotního stavu ohrožen. Rodinou se rozumí rodiče, dítě/děti, sourozenci, pěstouni, popř. pečující osoba).";- děti kojeneckého věku (do 1 roku) - děti předškolního věku (1 - 6 let) - mladší děti (7 let);"počet klientů - 3
okamžitá kapacita služby";"pondělí:
úterý:
středa:
čtvrtek:
8:00 - 14:30
pátek:
sobota:
neděle:";['777741449 ‘, '569421063 ‘, 'ranapece@charitahb.cz', 'http://www.hb.charita.cz']
raná péče;Raná péče (1840658);Oblastní charita Hradec Králové;Komenského 266/3, Hradec Králové, 500 03 Hradec Králové 3;45979855;Středisko rané péče Sluníčko;Mgr. Pavlína Chmelíková;třída Karla IV. 1222/25a, Hradec Králové, 500 02 Hradec Králové 2;1.1.2007;ambulantní;"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zrakovým postižením
rodiny s dítětem/dětmi";- rodiny s dítětem do 7 let věku;"počet klientů - 100
Služba může být sjednána maximálně pro 100 klientů(rodin).";"pondělí:
8:00 - 16:30 - dle předchozí domluvy
úterý:
8:00 - 16:30 - dle předchozí domluvy
středa:
8:00 - 16:30 - dle předchozí domluvy
čtvrtek:
9:00 - 11:00 - , dále dle předchozí domluvy od 8:00-9:00 a 11:00-16:30
pátek:
8:00 - 16:30 - dle předchozí domluvy
sobota:
neděle:";['777721642‘, '495260732 ‘, 'slunicko@charitahk.cz', 'http://www.charitahk.cz']
raná péče;Raná péče (3974577);Oblastní charita Kutná Hora;Havířská 403/3, Kutná Hora-Vnitřní Město, 284 01 Kutná Hora 1;49543547;Raná péče Na Sioně;Mgr. Markéta Sieglová;Palackého náměstí 320, Kutná Hora-Vnitřní Město, 284 01 Kutná Hora 1;3.5.2004;ambulantní;"osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
rodiny s dítětem/dětmi
Jedná se o rodiny dětí se specifickými potřebami (děti předčasně narozené, s nerovnoměrným nebo opožděným vývojem, s mentálním, pohybovým, kombinovaným handicapem, s poruchami autistického spektra) od narození do 7 let.";"děti předškolního věku (1 - 6 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
děti kojeneckého věku (do 1 roku)";"počet klientů - 65
Rodiny dětí předčasně narozených , s mentálním pohybovým, kombinovaným hedicapem, s poruchou autistického spektra, s nerovnoměrným nebo opožděným vývojem do 7 let.";"pondělí:
13:00 - 15:00 - přítom. SP, dle před. dohody s klientem je služba poskytována i v jiné době
úterý:
středa:
čtvrtek:
pátek:
sobota:
neděle:";['327311493‘, 'ranapece.charita@kh.cz', 'http://www.kh.charita.cz']
raná péče;Raná péče (1570739);Paspoint, z.ú.;Anenská 10/10, Brno-střed, Staré Brno, 602 00 Brno 2;26589907;Paspoint, z.ú.;Ing. Tomáš Dostál;Anenská 10/10, Brno-střed, Staré Brno, 602 00 Brno 2;23.11.2017;ambulantní;"osoby se zdravotním postižením
rodiny s dítětem/dětmi";děti kojeneckého věku (do 1 roku) děti předškolního věku (1 - 7 let);"počet klientů - 1
Jedná se o maximální okamžitou kapacitu.";"pondělí:
úterý:
středa:
čtvrtek:
9:30 - 14:30
pátek:
9:30 - 18:00
sobota:
neděle:";['777798701‘, 'rp@paspoint.cz', 'www.paspoint.cz']
